CustomerID,Age,Education,EmploymentType,EmploymentSector,EmploymentLengthYears,MonthlyIncome,MaritalStatus,Dependents,PropertyOwnership,CreditScore,ExistingLoans,MonthlyDebt,YearsWithBank,HasSavingsAccount,HasCheckingAccount,LoanPurpose,LoanAmount,LoanTermMonths,InterestRate,LoanDefault,LoanPurposeDescription
1,59,High School,Self-Employed,Technology,11,9067.159785929249,Single,2,Own with Mortgage,770,3,1583.0655001893713,7,1,0,Personal,20789.00550231301,36,3.8289192128181497,0,Need funds for the next three years.
2,51,Below High School,Full-Time,Government,24,5068.058742,Married,1,Own with Mortgage,698,3,1332.0520866002532,7,1,1,Personal,27461.583711963835,48,8.855769043,1,I need a personal loan for this to be done.
3,24,Bachelor,Unemployed,Manufacturing,0,2557.5418238281936,Single,0,Living with Parents,480,1,911.5360965823481,2,1,1,Business,68862.74464529644,240,14.748992771125842,1,Seeking financing to start my own company.
4,25,Bachelor,Full-Time,Finance,0,7535.097299,Single,0,Living with Parents,774,1,514.1415260222732,6,1,0,Wedding,8841.450954027816,48,4.8258859843206405,0,I need a personal loan for me.
5,25,Master,Part-Time,Government,5,4798.4652510213045,Married,2,Rent,590,4,2386.4882850883982,3,0,1,Education,17787.927594152534,120,18.384156974863238,1,"Applying for student financing for tuition, fees, and other expenses."
6,18,Bachelor,Full-Time,Services,0,2715.3125858649864,Single,0,Rent,576,4,982.4349949228078,0,1,1,Medical,27469.92985672799,24,16.130220007840993,1,Applying for financing to cover the cost of the project.
7,26,Master,Full-Time,Finance,2,8468.695613636213,Married,2,Own with Mortgage,648,1,2698.065800626049,7,1,1,Wedding,21792.51711014642,48,11.432650872131362,0,I need a personal loan for me.
8,23,Below High School,Contract,Manufacturing,0,2079.1840969234963,Divorced,3,Rent,581,1,860.6922651118855,1,1,1,Medical,17649.139075500076,24,16.813506578211435,1,"Applying for financing to cover the costs of the project, which is currently being completed."
9,46,Master,Full-Time,Services,8,9386.927084454908,Married,0,Living with Parents,688,3,3284.338249982179,13,1,0,Medical,25628.31691731993,12,8.324921111,0,Applying for financing to cover the costs of the program.
10,39,Bachelor,Part-Time,Other,13,9241.197498,Married,2,Own with Mortgage,655,1,2386.114164005102,11,1,1,Home Improvement,6097.498566075128,48,9.059395735596619,0,I need a personal loan for me to take care of my children.
11,19,High School,Part-Time,Construction,0,1886.7047858602039,Single,1,Rent,608,1,1028.830349859637,1,0,1,Debt Consolidation,11731.12892004046,24,12.721826505437301,0,
12,19,High School,Unemployed,Manufacturing,0,905.9802692267266,Single,0,Rent,519,2,355.37041257778657,0,1,1,Home Improvement,28062.430243716928,36,15.704060129378625,1,Applying for financing to cover the cost of the project.
13,20,Bachelor,Unemployed,Healthcare,0,3440.551996253258,Single,0,Living with Parents,614,3,1058.667988356051,0,1,1,Home Purchase,174085.66749033768,120,12.286558893080592,1,
14,27,Bachelor,Full-Time,Education,7,7651.751256572742,Married,2,Rent,624,1,2176.4570738468874,8,1,1,Business,189768.2592997772,240,11.849564707650163,0,Applying for business credit to the credit card issuer.
15,51,Bachelor,Full-Time,Other,2,8197.069037071575,Married,2,Own with Mortgage,815,1,1359.5107104774966,25,1,1,Home Improvement,23983.775643815326,60,5.724130082543915,0,Applying for financing to cover the costs of the project.
16,64,High School,Part-Time,Technology,16,2651.133108898411,Married,3,Living with Parents,708,0,1041.061632289037,12,0,1,Vacation,24338.472288364097,36,6.933635344066728,0,"Applying for financing to cover the costs of the project, and the project's budget for the project."
17,21,Associate,Unemployed,Finance,0,153.76470254858165,Single,0,Rent,527,4,102.85540164395563,3,0,1,Education,61529.787427698895,60,13.745474219031157,1,"I need an education loan to pursue the full potential of a student,â€ he said."
18,61,Bachelor,Full-Time,Construction,16,10783.782439949231,Married,1,Own Outright,735,0,3027.5260989710187,2,1,1,Personal,19315.852726244288,24,8.473887420701192,1,Need funds for the development of the new home in the city.
