Age,Education,EmploymentLengthYears,MonthlyIncome,Dependents,CreditScore,ExistingLoans,MonthlyDebt,YearsWithBank,HasSavingsAccount,HasCheckingAccount,LoanAmount,LoanTermMonths,InterestRate,LoanDefault,LoanPurposeDescription,Sentiment_Score,EmploymentType_Full-Time,EmploymentType_Part-Time,EmploymentType_Self-Employed,EmploymentType_Unemployed,EmploymentSector_Education,EmploymentSector_Finance,EmploymentSector_Government,EmploymentSector_Healthcare,EmploymentSector_Manufacturing,EmploymentSector_Other,EmploymentSector_Retail,EmploymentSector_Services,EmploymentSector_Technology,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,PropertyOwnership_Own Outright,PropertyOwnership_Own with Mortgage,PropertyOwnership_Rent,LoanPurpose_Car Loan,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home Improvement,LoanPurpose_Home Purchase,LoanPurpose_Medical,LoanPurpose_Personal,LoanPurpose_Vacation,LoanPurpose_Wedding,Sentiment_Neutral,Sentiment_Positive,Sentiment_Unknown
59,1.0,11,9067.159785929249,2,770,3,1583.0655001893713,7,1,0,20789.00550231301,36,3.8289192128181497,0,Need funds for the next three years.,0.9913865327835083,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51,0.0,24,5068.05874228898,1,698,3,1332.0520866002532,7,1,1,27461.583711963835,48,8.85576904337473,1,I need a personal loan for this to be done.,0.9984763264656067,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,3.0,0,2557.5418238281936,0,480,1,911.536096582348,2,1,1,68862.74464529644,240,14.748992771125842,1,Seeking financing to start my own company.,0.9868311882019043,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3.0,0,7535.09729881522,0,774,1,514.1415260222732,6,1,0,8841.450954027816,48,4.8258859843206405,0,I need a personal loan for me.,0.9985173344612122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,4.0,5,4798.4652510213045,2,590,4,2386.4882850883982,3,0,1,17787.927594152534,120,18.38415697486324,1,"Applying for student financing for tuition, fees, and other expenses.",0.8830851912498474,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,3.0,0,2715.3125858649864,0,576,4,982.4349949228078,0,1,1,27469.92985672799,24,16.130220007840993,1,Applying for financing to cover the cost of the project.,0.9172947406768799,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,4.0,2,8468.695613636213,2,648,1,2698.065800626049,7,1,1,21792.51711014642,48,11.432650872131362,0,I need a personal loan for me.,0.9985173344612122,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0.0,0,2079.1840969234963,3,581,1,860.6922651118855,1,1,1,17649.139075500076,24,16.813506578211435,1,"Applying for financing to cover the costs of the project, which is currently being completed.",0.9043724536895752,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46,4.0,8,9386.927084454908,0,688,3,3284.338249982179,13,1,0,25628.31691731993,12,8.3249211112275,0,Applying for financing to cover the costs of the program.,0.9643049240112305,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,3.0,13,9241.19749849176,2,655,1,2386.114164005102,11,1,1,6097.498566075128,48,9.05939573559662,0,I need a personal loan for me to take care of my children.,0.997945249080658,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
